SAO_number  RA2000  Dec2000  Mag  Type1  Type2  Arcsec
221895  10.24566  -42.1222  4.10  A  2  474014.27
232306  1.139754  -55.2457  4.10  B  8  205143.75
231468  23.17269  -45.2467  4.10  K  0  167612.84
029137  14.41992  +51.8507  4.10  F  8  431485.19
055427  2.288579  +33.8477  4.10  A  0  168107.74
142408  18.58672  -8.24400  4.10  K  0  292643.52
238085  10.46462  -58.7397  4.10  F  0  426696.57
078423  6.482711  +20.2128  4.10  B  5  348453.87
220422  8.767149  -46.0413  4.10  A  0  422596.56
155980  10.43481  -16.8362  4.10  K  5  545005.00
137035  9.664264  -1.14296  4.10  K  0  521811.95
131346  4.605316  -3.35243  4.10  B  2  248821.95
256710  10.40657  -74.0313  4.10  F  5  376441.82
152303  7.062633  -15.6334  4.10  B  5  379206.20
225525  15.19894  -48.7373  4.10  B  9  418303.87
205871  14.72763  -35.1739  4.10  K  0  461336.15
172542  6.902196  -24.1836  4.10  K  2  368372.15
220204  8.627399  -42.9892  4.10  A  5  423617.73
090775  22.77556  +23.5654  4.10  K  0  106387.30
