CenterRa CenterDec StarDensity
75.00000 +30.00000 5
75.00000 +35.00000 9
75.00000 +40.00000 13
75.00000 +45.00000 8
75.00000 +50.00000 8
75.00000 +55.00000 11
75.00000 +60.00000 11
75.00000 +65.00000 13
75.00000 +70.00000 8
75.00000 +75.00000 13
75.00000 +80.00000 29
75.00000 +85.00000 78
79.99999 -85.00000 39
79.99999 -80.00000 29
79.99999 -75.00000 17
79.99999 -70.00000 11
79.99999 -65.00000 10
79.99999 -60.00000 6
79.99999 -55.00000 8
79.99999 -50.00000 7
79.99999 -45.00000 4
79.99999 -40.00000 6
79.99999 -35.00000 9
79.99999 -30.00000 5
79.99999 -25.00000 7
79.99999 -20.00000 7
79.99999 -15.00000 8
79.99999 -10.00000 11
79.99999 -05.00000 17
79.99999 +00.00000 12
79.99999 +05.00000 8
79.99999 +10.00000 5
79.99999 +15.00000 8
79.99999 +20.00000 9
79.99999 +25.00000 7
79.99999 +30.00000 11
79.99999 +35.00000 8
79.99999 +40.00000 8
79.99999 +45.00000 8
79.99999 +50.00000 6
79.99999 +55.00000 9
79.99999 +60.00000 10
79.99999 +65.00000 12
79.99999 +70.00000 10
79.99999 +75.00000 13
79.99999 +80.00000 29
79.99999 +85.00000 72
84.99999 -85.00000 32
84.99999 -80.00000 33
84.99999 -75.00000 15
84.99999 -70.00000 16
84.99999 -65.00000 14
84.99999 -60.00000 8
84.99999 -55.00000 10
84.99999 -50.00000 9
84.99999 -45.00000 8
84.99999 -40.00000 8
84.99999 -35.00000 11
84.99999 -30.00000 6
84.99999 -25.00000 6
84.99999 -20.00000 7
84.99999 -15.00000 5
84.99999 -10.00000 12
84.99999 -05.00000 15
84.99999 +00.00000 16
84.99999 +05.00000 10
84.99999 +10.00000 9
84.99999 +15.00000 11
84.99999 +20.00000 10
84.99999 +25.00000 8
84.99999 +30.00000 9
84.99999 +35.00000 11
84.99999 +40.00000 7
84.99999 +45.00000 7
84.99999 +50.00000 4
84.99999 +55.00000 4
84.99999 +60.00000 13
84.99999 +65.00000 9
84.99999 +70.00000 10
84.99999 +75.00000 13
84.99999 +80.00000 36
84.99999 +85.00000 65
90.00000 -85.00000 32
90.00000 -80.00000 33
90.00000 -75.00000 11
90.00000 -70.00000 20
90.00000 -65.00000 12
90.00000 -60.00000 12
90.00000 -55.00000 13
90.00000 -50.00000 10
90.00000 -45.00000 4
90.00000 -40.00000 10
90.00000 -35.00000 14
90.00000 -30.00000 8
90.00000 -25.00000 10
90.00000 -20.00000 9
90.00000 -15.00000 7
90.00000 -10.00000 8
90.00000 -05.00000 9
90.00000 +00.00000 6
90.00000 +05.00000 6
90.00000 +10.00000 9
90.00000 +15.00000 13
90.00000 +20.00000 10
90.00000 +25.00000 9
90.00000 +30.00000 6
90.00000 +35.00000 5
90.00000 +40.00000 5
90.00000 +45.00000 4
90.00000 +50.00000 7
90.00000 +55.00000 8
90.00000 +60.00000 13
90.00000 +65.00000 9
90.00000 +70.00000 10
90.00000 +75.00000 17
90.00000 +80.00000 33
90.00000 +85.00000 59
94.99999 -85.00000 32
94.99999 -80.00000 26
94.99999 -75.00000 15
94.99999 -70.00000 20
94.99999 -65.00000 16
94.99999 -60.00000 10
94.99999 -55.00000 18
94.99999 -50.00000 10
94.99999 -45.00000 6
94.99999 -40.00000 11
94.99999 -35.00000 17
94.99999 -30.00000 11
94.99999 -25.00000 10
94.99999 -20.00000 10
94.99999 -15.00000 8
94.99999 -10.00000 9
94.99999 -05.00000 13
94.99999 +00.00000 8
94.99999 +05.00000 6
94.99999 +10.00000 10
94.99999 +15.00000 10
94.99999 +20.00000 9
94.99999 +25.00000 5
94.99999 +30.00000 5
94.99999 +35.00000 4
94.99999 +40.00000 5
94.99999 +45.00000 7
94.99999 +50.00000 5
94.99999 +55.00000 11
94.99999 +60.00000 16
94.99999 +65.00000 9
94.99999 +70.00000 10
94.99999 +75.00000 13
94.99999 +80.00000 26
94.99999 +85.00000 52
99.99999 -85.00000 26
99.99999 -80.00000 23
99.99999 -75.00000 22
99.99999 -70.00000 15
99.99999 -65.00000 10
99.99999 -60.00000 12
99.99999 -55.00000 17
99.99999 -50.00000 14
99.99999 -45.00000 5
99.99999 -40.00000 7
99.99999 -35.00000 18
99.99999 -30.00000 10
99.99999 -25.00000 8
99.99999 -20.00000 10
99.99999 -15.00000 9
99.99999 -10.00000 8
99.99999 -05.00000 7
99.99999 +00.00000 9
99.99999 +05.00000 8
99.99999 +10.00000 9
99.99999 +15.00000 8
99.99999 +20.00000 4
99.99999 +25.00000 6
99.99999 +30.00000 5
99.99999 +35.00000 4
99.99999 +40.00000 5
99.99999 +45.00000 8
99.99999 +50.00000 5
99.99999 +55.00000 11
99.99999 +60.00000 17
99.99999 +65.00000 8
99.99999 +70.00000 11
99.99999 +75.00000 11
99.99999 +80.00000 23
99.99999 +85.00000 52
105.0000 -85.00000 26
105.0000 -80.00000 33
105.0000 -75.00000 17
105.0000 -70.00000 16
105.0000 -65.00000 4
105.0000 -60.00000 9
105.0000 -55.00000 15
105.0000 -50.00000 19
105.0000 -45.00000 14
105.0000 -40.00000 11
105.0000 -35.00000 9
105.0000 -30.00000 14
105.0000 -25.00000 17
105.0000 -20.00000 9
105.0000 -15.00000 8
105.0000 -10.00000 6
105.0000 -05.00000 5
105.0000 +00.00000 7
105.0000 +05.00000 7
105.0000 +10.00000 8
105.0000 +15.00000 8
105.0000 +20.00000 7
105.0000 +25.00000 7
105.0000 +30.00000 8
105.0000 +35.00000 4
105.0000 +40.00000 7
105.0000 +45.00000 8
105.0000 +50.00000 9
105.0000 +55.00000 10
105.0000 +60.00000 11
105.0000 +65.00000 8
105.0000 +70.00000 10
105.0000 +75.00000 11
105.0000 +80.00000 23
105.0000 +85.00000 52
109.9999 -85.00000 26
109.9999 -80.00000 33
109.9999 -75.00000 22
109.9999 -70.00000 18
109.9999 -65.00000 6
109.9999 -60.00000 11
109.9999 -55.00000 15
109.9999 -50.00000 18
109.9999 -45.00000 13
109.9999 -40.00000 17
109.9999 -35.00000 14
109.9999 -30.00000 16
109.9999 -25.00000 22
109.9999 -20.00000 12
109.9999 -15.00000 10
109.9999 -10.00000 6
109.9999 -05.00000 5
